Com es representa el nombre 2993 en nombres romans?;MMMXCIII;MCMXCIII;MMCMXCIII;MMMCMXCIII;MMCMXCIII;2
Quin dels seguents taurons es mes gran?;El tauro negre;El tauro ballena;El tauro blau;El tauro blanc;El tauro ballena;2
De quin color es la pantera?;Blanca;Marro;Pardo;Negre;Negre;4
En un septenni quants anys transcorren?;5;7;10;6;7;2
Que es un nenufar ?;Un animal;Un arbre;Una planta;Una malaltia;Una planta;3
Es diu que la divisio es entera quan:;Quan la resta es cero;La resta es diferent de cero;Quan la resta es un nombre impar;Quan la resta es un nombre parell;La resta es diferent de cero;2
Quina de les seguents fonts es una energia renovable?;Petroli;Energia nuclear;Biomassa;Gas natural;Biomassa;3
El moviment de translacio triga un total de:;365 dies amb 5 hores;365 dies amb 4 hores;365 dies amb 6 hores;365 dies amb 7 hores;365 dies amb 6 hores;3
Com es representa el nombre 3045 en nombres romans?;MMMXLV;MMMLX;MMDLXV;MMCCLXV;MMMXLV;1
La unitat de volum en el Sistema Internacional es:;Ampere per metre;Metre quadrat;Ampere per metre quadrat;Metre cubic;Metre c?bic;4
Qui va inventar la bombeta incandescent?;Morse;Volta;Bell;Edison;Edison;4
Com s'anomena als objectes que deixen passar la llum pero que no es pot veure a traves d'ells?;Transparent;Refractant;Translucid;Opac;Translucid;3
La poltres es el nom de la cria de:;Cabra;Cavall;Borrego;Ruc;Cavall;2
En un decenni quants anys transcorren?;7;10;6;12;10;2
El Renaixement es va produir a Europa Occidental durant:;L'Edat Mitjana;L'Edat Moderna;L'Edat Contemporania;L'Edat Contemporania;L'Edat Moderna;2
Quin va ser el primer us que va tenir el ferrocarril a principis del segle XIX?;Transport de mercaderies;Esbarjo;Unitats militars;Extraccio del carbo de les mines;Transport de mercaderies;1
Quines van ser les dues ciutats mes importants durant l'antic Egipte?;Persepolis i Babilonia;Memphis i Roma;Atenes i Tebes;Memfis i Tebes;Memfis i Tebes;4
"Quin rei va rebre el sobrenom de ""El Savi""?";Felipe IV;Alfonso X;Carlos V;Carlos IV;Alfonso X;2
Quan va comencar la Primera Guerra Mundial?;1912;1915;1914;1913;1914;3
La dictadura de Franco va ocorrer entre:;1939 - 1974;1938 - 1974;1938 - 1975;1939 - 1975;1939 - 1975;4
Qui va ser el primer emperador de Roma?;Neron;Trajano;Augusto;Julio Cesar;Augusto;3
Com va morir Joana d'Arc?;Enverinada;Ofegada;Decapitada;Cremada a la foguera;Cremada a la foguera;4
Quina era la nacionalitat de Juli Cesar?;Persa;Grega;Romana;Egipcia;Romana;3
"En la Revolucio Industrial es va produir: una revolucio agraria tecnologica de transport i ";Economica;Demografica;Humana;Ramadera;Demografica;2
En quin any va comencar la Segona Guerra Mundial?;1939;1941;1940;1942;1939;1
Com es deien als descendents dels primers pobladors de Roma?;Etruscs;Incas;Patricis;Metecs;Patricis;3
Qui va realitzar la facana de la Basilica de Santa Maria Novella de Florencia?;Alberti;Brunelleschi;Sagnier;Bernini;Alberti;1
A quin pais es troba el Parten?;Italia;Grecia;Franca;Espanya;Grecia;2
En quin moviment cultural es troba Rembrandt?;Romanic;Renaixement;Gotic;Barroc;Barroc;4
"Quin artista va pintar ""El somni de Constant?""?";Rembrandt;Botticelli;Piero Della Francesca;Masaccio;Piero Della Francesca;3
En quin moviment cultural es troba Van Gogh?;Realisme;Fauvisme;Impressionisme;Romanticisme;Impressionisme;3
"En quina ciutat es troba ""La Font de la Cibeles""?";Barcelona;Madrid;Sevilla;Valencia;Madrid;2
"Qui es va encarregar de dissenyar la ""Ciutat de les Arts i les Ciencies"" de Valencia?";Felix Candela;Jose Maria Lopez;Joan Lerma;Santiago Calatrava;Santiago Calatrava;4
"En quin museu es troba ""La Gioconda""?";Museu Thyssen;Museu de Santa Sofia;Museu del Louvre;Museu del Prado;Museu del Louvre;3
En quin moviment cultural es troba Charles Garnier?;Romanic;Gotic;Barroc;Romanticisme;Romanticisme;4
En quin moviment cultural es troba Rubens?;Renaixement;Romanic;Barroc;Gotic;Barroc;3
"Qui va dissenyar el ""Parc Guell"" declarat patrimoni de la Humanitat?";Ramon Casas;Antonio Gaudi;Enric Sagnier;Santiago Rusi?ol;Antonio Gaudi;2
L'Aqueducte de Segovia es una construccio:;Grecoromana;Romana;Grega.;Bizantina;Romana;2
On es troba el Museu Calouste Gulbenkian?;Londres;Lisboa;Paris;Madrid;Lisboa;2
"On es troba ""La creacio d'Adam"" de Miquel Angel?";A la Capella Sixtina;Al Museu del Louvre;Al Museu del Prado;Al Museu Reina Sofia;A la Capella Sixtina;1
"Quin artista va realitzar ""Donatello""?";Donatello;Ghiberti;Miguel Angel;Bernini;Donatello;1
